Attendee_ID,Group_Size,Arrival_Time_Min,Arrival_Location_X,Arrival_Location_Y,Dist_G1,Dist_G2,Dist_G3,Dist_G4
S13660,2,0,625.577016336434,305.3818068042102,239.49970685214487,557.3971954570128,427.715246323775,683.3980067185904
S12229,3,0,241.18172287141203,707.9569253641129,606.4179985391345,290.4051837830604,431.3137442972261,171.68373695968668
S12192,5,0,516.9401513598254,575.0752834849792,440.1623829719237,273.21672653837123,219.5338460615155,401.779781162155
S3901,1,0,202.15198709634885,369.77942782578543,340.2168972889633,560.776289277111,592.3196495061414,512.0221414272629
S1358,5,0,367.61451571400795,801.9938799045221,667.8117207757055,136.0871352004737,312.55477685860103,137.07080360759332
S2657,5,0,404.4067277402742,763.9981304264699,626.2380948882375,123.8366614289581,269.57422668019854,189.1699038547734
S10553,2,0,252.3714591032623,426.4678360605648,349.8742864341984,486.3582289439307,518.1606308560602,452.67407717714514
S13492,1,0,227.84165998007933,329.5244764038121,294.32132187365113,583.1969486198623,598.3608062587593,550.250381992939
S7778,2,0,380.5491271130771,13.49251026185394,145.31304854704624,841.9223191685207,774.0169416730505,874.8012542768339
S17946,3,0,124.25735613692157,491.5218652954855,481.36139375034105,514.5922863539862,597.5479866645791,408.85272377107276
S13232,1,0,240.3985818081217,844.9819547758221,736.6151566936107,255.4889401087881,446.4107048665494,36.88129527410355
S1250,1,0,107.332307122465,778.6932345627225,726.422651787689,394.58474644799327,566.6157289265273,178.02368091154486
S7716,1,0,159.42666203685118,420.24036547649865,405.9024117193271,543.8109450439892,599.1176625087712,468.60455634061657
S972,1,0,750.2888640367004,302.0446666657003,339.0228132541593,601.8509765631678,435.6465754009794,760.9391976920308
S15255,4,0,5.423027077602116,201.73302599260035,451.5729830439067,810.8828538569846,850.807852017581,721.6809465916344
S18002,1,0,286.5186341643459,138.40006038405394,166.1904600276391,739.3394491504496,706.539718587253,741.4374724031568
S16536,1,0,422.8685384190395,843.0086837562638,704.0159205347874,73.14350228090085,273.23524343687365,172.38408185082753
S1820,2,0,827.4276934845623,465.7963058076334,496.7946841416729,505.57736228964234,307.08186312283686,706.6198244363809
S15085,2,0,916.0053032309394,13.099668350438854,480.26689452742136,934.1828867197295,757.8694046048091,1089.889275855557
S16654,2,0,176.38155204346162,15.811247916756477,302.79419837419715,890.9248649662753,869.7333021919795,866.8367563567799
S312,1,0,335.85118726047256,972.4719979548743,841.0043921345034,203.05426295786035,414.0545854508572,123.93447632700284
S8123,1,0,163.903023307272,681.1768133004321,613.7462115747973,371.2976479065228,510.3953640054354,217.6292719518929
S19393,2,0,163.70685080456792,770.6809171639932,694.082787833985,340.9307864527764,509.7744659353457,141.3236096140379
S6542,1,0,477.56858117239096,877.4540012487106,738.2475571986212,35.12338228498716,243.59195024579944,223.26190883829375
