Attendee_ID,Group_Size,Arrival_Time_Min,Arrival_Location_X,Arrival_Location_Y,Dist_G1,Dist_G2,Dist_G3,Dist_G4,Dist_G5,Dist_G6
S4359,3,0,714.6329433317319,518.7145603594016,321.6632487300537,607.6505280958526,735.6624268678021,616.8932762988537,540.6029341801924,654.7874298670914
S11281,1,16,555.1798868720476,600.0766265176827,185.53533815672242,470.15076572369463,695.44043555988,586.3329519646114,422.63350210300257,510.37403054082483
S1971,1,16,785.6343695403178,545.9829462237922,347.184262174327,681.7008173669581,806.6545962369922,687.167422206588,616.1823979644497,727.9506011476828
S4070,1,17,419.01002876264846,469.6949470529031,334.6761420616839,308.50626861669633,513.8349769844443,411.0683859399219,243.22209570516492,357.35001353230626
S6088,2,18,734.2133353611666,362.6079780444477,467.1680508421729,628.0265867001178,655.840170391881,535.4482096230106,544.3224694938023,681.0733075240391
S1160,2,20,520.241041605738,404.43641524754446,380.0844302824101,410.65348310821935,517.9723241705052,402.3529542917574,330.30245414049375,463.2440268611924
S1479,3,31,357.16858436753114,82.80186639996545,723.239584613217,437.1610041075337,191.7998716287555,80.17998240703577,346.5579254158668,487.0807637396884
S3921,1,31,288.4616371735142,103.74570393906791,723.2114535133013,383.88591205054456,141.46928521839013,22.88760244867961,299.3701016292624,430.79132098303984
S4619,1,32,611.0720039860003,373.5448522447156,418.0793880010152,504.53674033028597,561.9799964614309,442.13032718341753,420.8545851292847,557.8144811100642
S2420,2,32,693.091515147099,480.5489145269643,343.2815913415572,582.6720778665293,693.9863164541802,574.8357915114525,511.37425868487844,631.5194796344188
S5655,2,36,790.5162627379666,287.000156313783,559.9450840927805,696.9890171881196,670.3401966505234,552.2111649581564,608.3064901651351,751.47867604658
S5711,1,36,178.28465049866412,133.16389944097705,741.5651578064621,318.3435760666486,116.89511530601452,110.30580798203319,253.73314650010443,356.4545793196884
S10432,2,38,791.549405814666,302.02205538746057,547.1345143107419,694.7614892500488,677.483210696868,558.8611375631036,607.051005289264,748.9692509322041
S11994,1,40,242.28124646790263,235.9268735586012,620.747104121057,246.10496118543549,229.07066161653998,155.90435004023408,159.35486673336817,295.65898225912093
S13427,4,44,691.5945069066983,369.0522274565196,444.4456107584707,584.9320234969592,623.6793870142974,503.1721891764705,501.4816853643177,637.9716000519193
S9906,1,44,704.1428173233173,345.06495570442047,471.3408529490364,600.8760586898724,621.0411032240182,500.6414089313268,515.3995333525525,654.5171970768018
S14651,2,49,259.69168177573147,390.7361060427394,479.24985040984075,157.58234771182833,383.42504103441223,307.2870443478104,69.394491384982,213.30556038624343
S14118,1,49,461.647476915638,661.4103735320276,142.1855088619707,411.89196685042435,705.0310953101517,606.2769665003134,386.1105149986281,443.4273079998738
S7942,1,50,404.4807102423983,39.0833716091775,756.2465225235659,500.1217470168281,228.34623870063757,135.14441251285908,408.15972591757316,550.6497279206188
S7229,1,50,772.0463199832826,152.64894859961834,675.3142064185602,722.0845208094579,610.2043568985764,499.79552125083904,626.9172209604358,778.0489946874778
S14485,2,51,517.0823155083215,560.7728400012188,224.1059936761567,421.90032786267284,641.8316312326689,533.8668604314164,370.19186305508924,464.3802886234227
S13437,4,51,502.303680772025,155.81974529197566,629.2385533874098,485.7914447015696,353.71718435850147,236.49616392653766,387.9870277672152,541.1801813739197
S9019,1,51,691.6166088890739,667.0897055351379,197.09335853508756,621.3417075686725,829.5226556579722,715.5257746381881,574.341891845588,660.0677831358033
S7000,1,51,262.5918821688114,222.46705573053055,623.5917491738171,268.4866861157348,223.1471003260885,139.277249150649,179.30580180347343,318.81992689430626
S14552,1,51,605.7768642607381,209.06002163307375,579.8059552080035,547.4213396244886,469.8715173825994,351.78442537289544,451.712299703389,603.4506622515371
S11680,1,52,523.538550105577,621.2095667302168,163.37531319966934,448.32271102471526,697.0261218877911,591.1387600973779,407.43880221601785,485.9999781697344
S7424,3,52,503.3277310797974,598.5620117138726,188.12017543574225,421.01522166108356,667.3602226571809,562.1965506804037,377.9367827189251,459.9982981659263
S13566,2,52,718.4279601807896,211.1967158180236,602.3050946036608,650.1629024586741,575.1869041654121,459.40910298296546,556.3819603528179,705.9200577434628
S10705,2,52,197.90013935233804,428.50647161202636,488.8676297575569,87.81636906147942,412.7489030592901,353.5315721135949,42.56222790660486,142.41858352084728
S9749,1,52,198.01534983376695,626.8110333532239,370.30747501831513,201.84191038284308,610.8900274459676,548.5896176293662,240.32441007029342,207.80381717086632
S5073,5,53,485.6958993370604,72.54543139625156,713.3367582781694,527.5341465566619,313.51080103511515,209.00991575317138,431.0710183469687,581.1854213210506
S11469,2,53,471.68629692551923,237.690915043685,550.0565219307156,415.26772119598695,368.37873430528094,248.0814765684416,318.2554639463466,471.26317360435877
S7783,2,53,744.4321835273785,178.70692677012502,641.3880364295451,686.412730220594,589.9577687669191,476.94589461891746,591.7361085055504,742.3135046987535
S11801,1,55,580.4599999044102,704.6432407847445,92.64071033561855,536.2798031588145,797.7532480590136,690.91722059442,503.2676553110052,569.3950440580239
S6940,2,56,183.98730930195254,479.35739513177407,463.58915629852726,80.4264957504633,463.1328853170184,406.2120733994976,92.97353527812596,122.68453418331359
S11144,1,57,570.1413207039539,786.2934102738728,37.0311201442428,572.0005072539436,864.4500578922299,761.0773514074806,551.3054015741097,598.8276844528713
S9578,3,57,606.2658605251722,13.179048975064678,774.579316489094,656.3023861504553,429.000396213919,336.7860910856314,558.9059251279994,710.831070880461
S2906,1,57,239.23974953917454,521.9953915646166,393.94879081378934,149.41001877007758,509.5041064386529,439.68282465343225,143.92170561679362,185.03521659778102
S7895,2,58,254.2192886165341,384.8106220417684,487.23987719991555,154.6354163685365,376.48380653381446,301.73484271165387,63.82440072928006,210.5617775073346
S3521,1,59,79.66084055241751,150.11949320868024,779.6481706412986,296.03389105253865,165.66137036613296,208.13835618341867,261.1394520140812,320.38663405073146
S6506,1,59,730.573811309058,791.2054104225336,197.5306781358156,709.5455477290179,952.1858106182243,840.2150102971842,674.8822876008622,742.0366407800406
S13242,1,59,488.5160932243485,529.4284485357351,258.7537189945103,386.4394952453013,600.1653011885907,493.1565333207881,330.5438594580986,430.973009301139
S10242,1,60,580.2031472059253,779.3006561486309,47.304348734116346,576.0055109553101,862.8793597296743,758.5942264462504,553.2985987622226,603.7828334358221
S12021,1,61,593.4222339594842,50.65019410741698,736.1214033424882,622.3139397875391,417.5631122360383,318.17157804092676,524.6688704427427,677.218738602846
S846,1,61,679.0505030096285,752.2221275460848,149.37195346071962,645.6029269676234,890.7288890094098,779.9055753100093,610.2739301254917,678.837355295195
S1598,3,61,494.3997977627003,394.0739051430899,392.147817627332,386.1575440372525,493.25503930687404,378.74689759852384,304.0713361409308,439.3499585159679
S8106,1,62,750.1610252587343,504.89596771000737,353.7725353564361,641.4771068987563,752.9600363352943,633.3176406151786,572.1033031907461,689.3846434115874
S388,1,62,506.1456019684602,325.2857567995957,459.80981541556525,412.2007808387031,451.2688877708508,332.80416109594927,321.62525860575465,467.4500481620827
S8742,1,63,66.79444819265052,520.2861474704744,535.9144490980403,88.06827017274816,515.9800694174459,484.34056803014266,182.08108006185816,50.547529311083316
S13982,1,64,331.9328018205422,54.28089400374114,757.2472669762235,448.09691917344946,159.25804213629115,62.42956278948532,361.20112048261245,495.85252340175447
S9254,2,65,457.16241024623747,69.07589359513481,719.2519074328903,510.2421660779226,284.82307867826563,180.77762889100558,414.7013639753805,563.1715725937239
